accepted_effective_sample_size,accepted_relative_mc_se,area_scaled_count_90d,area_scaled_count_per_day,effective_area_m2,equivalent_area_scaled_exposure_days_for_mc_count,equivalent_area_scaled_exposure_seconds_for_mc_count,ideal_surface_rate_muons_per_m2_day,n_flux_events_read,n_initial_inside_acceptance_skipped,n_outside_angular_margin,n_tracks_final_inside_acceptance,n_tracks_not_survived,n_tracks_survived,n_tracks_touched_rock,point,poisson95_area_scaled_count_per_day_high,poisson95_area_scaled_count_per_day_low,status,summary_json,weighted_accepted_count
245.0,0.06388765649999399,382200000.0,4246666.666666667,1560000.0,5.769230769230769e-05,4.984615384615385,2.7222222222222223,1363053739,4980797,1351795332,245,2640404,2462,2642866,P1,4778433.445955817,3714899.8873775164,ok,/home/rafael/proyectos/CABRIALES/run_machin90dia_allpoints_full/10_in_scattering_background/machin90d_4points_volcano_surface_step10m_workers10/P1/reduced/spatial_in_scattering_summary.json,245.0
244.0,0.06401843996644799,621590000.0,6906555.555555556,2547500.0,3.532875368007851e-05,3.052404317958783,2.7111111111111112,1363053739,8347371,1345566778,244,3770465,2187,3772652,P2,7773163.503483767,6039947.607627344,ok,/home/rafael/proyectos/CABRIALES/run_machin90dia_allpoints_full/10_in_scattering_background/machin90d_4points_volcano_surface_step10m_workers10/P2/reduced/spatial_in_scattering_summary.json,244.0
296.0,0.05812381937190964,1096680000.0,12185333.333333334,3705000.0,2.4291497975708502e-05,2.0987854251012146,3.2888888888888888,1363053739,34740791,1306709758,296,7474699,1618,7476317,P4,13573519.236093558,10797147.430573108,ok,/home/rafael/proyectos/CABRIALES/run_machin90dia_allpoints_full/10_in_scattering_background/machin90d_4points_volcano_surface_step10m_workers10/P4/reduced/spatial_in_scattering_summary.json,296.0
231.0,0.0657951694959769,378262500.0,4202916.666666667,1637500.0,5.4961832061068704e-05,4.748702290076336,2.566666666666667,1363053739,7010466,1348010519,231,3031028,1790,3032818,P5,4744918.631009834,3660914.7023234996,ok,/home/rafael/proyectos/CABRIALES/run_machin90dia_allpoints_full/10_in_scattering_background/machin90d_4points_volcano_surface_step10m_workers10/P5/reduced/spatial_in_scattering_summary.json,231.0
